Source,Destination,Protocol,SrcPort,DstPort,DataSize,Duration
111.183.8.139,10.198.0.166,6,22100,1107,58,0.000
10.198.0.166,111.183.8.139,6,1107,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,9200,58,0.000
10.198.0.166,111.183.8.139,6,9200,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,1073,58,0.000
111.183.8.139,10.198.0.166,6,22100,3325,58,0.000
10.198.0.166,111.183.8.139,6,1073,22100,54,0.000
10.198.0.166,111.183.8.139,6,3325,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,163,58,0.000
10.198.0.166,111.183.8.139,6,163,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,1524,58,0.000
10.198.0.166,111.183.8.139,6,1524,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,3551,58,0.000
10.198.0.166,111.183.8.139,6,3551,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,667,58,0.000
10.198.0.166,111.183.8.139,6,667,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,3546,58,0.000
10.198.0.166,111.183.8.139,6,3546,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,1322,58,0.000
10.198.0.166,111.183.8.139,6,1322,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,7512,58,0.000
10.198.0.166,111.183.8.139,6,7512,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,714,58,0.000
10.198.0.166,111.183.8.139,6,714,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,4343,58,0.000
10.198.0.166,111.183.8.139,6,4343,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,6346,58,0.000
10.198.0.166,111.183.8.139,6,6346,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,55555,58,0.000
10.198.0.166,111.183.8.139,6,55555,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,1301,58,0.000
10.198.0.166,111.183.8.139,6,1301,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,5002,58,0.000
